timestamp,frontend_ms,extraction_ms,matching_ms,estimation_ms
1403715896.434058,9.943563,7.406580,2.536983,23.493236
1403715896.534058,19.871807,19.871807,0.000000,26.100214
1403715896.634058,40.954954,17.814218,23.140736,24.190906
1403715896.734058,36.771824,17.989993,18.781831,20.926997
1403715896.834058,34.097469,15.725048,18.372421,30.689045
1403715896.934058,33.321511,17.301842,16.019669,43.075804
1403715897.034058,5.471773,4.502928,0.968845,30.534519
1403715897.134058,5.658882,4.541222,1.117660,26.613802
1403715897.234058,5.658882,4.541222,1.117660,14.699564
1403715897.334058,7.018692,4.662192,2.356500,16.656542
1403715897.434058,5.528222,4.429128,1.099094,20.464194
1403715897.534058,6.581980,4.299652,2.282328,25.618045
1403715897.634058,5.244401,4.163091,1.081310,23.404127
1403715897.734058,5.932352,3.898968,2.033384,20.346672
1403715897.834058,5.246335,4.106784,1.139551,17.112250
1403715897.934058,6.661701,5.226357,1.435344,14.639569
1403715898.034058,7.390449,5.161824,2.228625,15.642721
1403715898.134058,8.821445,6.362311,2.459134,18.587411
1403715898.234058,8.950361,6.658174,2.292187,21.789531
1403715898.334058,7.549392,4.917478,2.631914,19.461526
1403715898.434058,6.143003,4.558875,1.584128,21.151796
1403715898.534058,6.569686,5.186190,1.383496,22.949441
1403715898.634058,5.631308,4.314850,1.316458,27.583869
1403715898.734058,9.848051,4.038323,5.809728,15.864183
1403715898.834058,7.418093,5.275210,2.142883,14.332174
1403715898.934058,9.839806,7.865976,1.973830,14.656182
1403715899.034058,8.470086,6.238234,2.231852,16.327975
1403715899.134058,7.867829,5.014543,2.853286,17.544094
1403715899.234058,6.216442,5.378436,0.838006,16.417016
1403715899.334058,7.109303,5.960745,1.148558,22.456361
1403715899.434058,9.222830,5.297001,3.925829,12.223878
1403715899.534058,7.537400,5.437469,2.099931,13.021547
1403715899.634058,8.020079,6.720934,1.299145,14.328948
1403715899.734058,6.894847,5.694780,1.200067,25.910961
1403715899.834058,7.336857,4.795536,2.541321,27.453351
1403715899.934058,6.241831,4.709893,1.531938,25.737693
1403715900.034058,6.164424,4.804263,1.360161,26.919324
1403715900.134058,6.963877,5.654833,1.309044,28.670750
1403715900.234058,9.405918,7.988929,1.416989,25.284430
1403715900.334058,6.560097,5.215225,1.344872,28.101496
1403715900.434058,9.981314,7.909146,2.072168,31.151687
1403715900.534058,8.854088,5.398966,3.455122,25.678009
1403715900.634058,8.440290,6.307627,2.132663,25.631740
1403715900.734058,8.352683,7.333862,1.018821,25.136077
1403715900.834058,6.517055,4.405372,2.111683,26.009351
1403715900.934058,4.314359,3.431387,0.882972,24.624662
1403715901.034058,9.198554,7.707744,1.490810,23.874533
1403715901.134058,8.327104,5.888508,2.438596,18.501858
1403715901.234058,7.118201,4.962244,2.155957,13.180430
1403715901.334058,7.853603,5.507974,2.345629,14.905204
1403715901.434058,6.834780,3.963591,2.871189,10.886189
1403715901.534058,9.411860,7.153227,2.258633,15.834776
1403715901.634058,7.466174,4.729220,2.736954,11.092853
1403715901.734058,11.143500,6.886830,4.256670,12.794585
1403715901.834058,5.544433,4.239176,1.305257,10.115921
1403715901.934058,5.174027,4.190102,0.983925,14.335631
1403715902.034058,10.440069,4.894214,5.545855,14.407406
1403715902.134058,8.519119,6.375145,2.143974,13.448110
1403715902.234058,7.958352,5.764903,2.193449,11.175150
1403715902.334058,6.958697,5.328952,1.629745,11.638012
1403715902.434058,8.847405,7.112951,1.734454,16.728679
1403715902.534058,34.443197,19.433332,15.009865,16.560108
1403715902.634058,35.635559,18.973837,16.661722,16.934542
1403715902.734058,40.393351,21.475761,18.917590,15.528674
1403715902.834058,29.828687,16.423058,13.405629,18.142633
1403715902.934058,29.784792,17.264650,12.520142,21.260662
